id	label	weight
1	david	53
2	a.	35
3	michael	34
4	erritzoe d.	33
5	wang	33
6	carhart-harris r.	31
7	carhart-harris	28
8	daniel	26
9	nutt d.j.	26
10	rosenblat j.d.	24
11	liechti	24
12	husain m.i.	23
13	matthias e.	23
14	laura	19
15	roseman l.	19
16	joshua	19
17	robin	19
18	mcintyre r.s.	18
19	carhart-harris r.l.	18
20	jones	18
21	robert	18
22	andrew	17
23	miller	17
24	li	17
25	c.	16
26	j.	16
27	williams	16
28	scott	16
29	yaden	16
30	martin	16
31	davis	16
32	erritzoe	16
33	rosenblat	15
34	s.	15
35	barrett	15
36	m.	14
37	aaronson	14
38	suppes	14
39	trisha	14
40	kettner h.	14
41	simonsson	14
42	james	14
43	johnson	14
44	jonathan	14
45	nutt d.	14
46	anna	14
47	mueller	14
48	goodwin g.m.	14
49	christopher	14
50	sara	14
51	robin l.	14
52	hannes	14
53	young a.h.	13
54	rucker j.j.	13
55	hendricks	13
56	peter	13
57	otto	13
58	nayak	13
59	adam	13
60	paul	13
61	sarah	13
62	holze	13
63	friederike	13
64	agrawal m.	13
65	b.	13
66	meshkat s.	13
67	davis a.k.	12
68	marco	12
69	david j.	12
70	young	12
71	david b.	12
72	alex	12
73	giribaldi b.	12
74	chen	12
75	aaron	12
76	felix	12
77	kettner	12
78	patrick	12
79	peter s.	12
80	zhang	12
81	liechti m.e.	11
82	grunder g.	11
83	knudsen g.m.	11
84	kelly j.r.	11
85	aaronson s.t.	11
86	palenicek t.	11
87	kwan	11
88	lewis	11
89	ley	11
90	milan	11
91	p.	11
92	richard	11
93	preller	11
94	lin	10
95	d.	10
96	maria	10
97	zeifman	10
98	richard j.	10
99	barrett f.s.	10
100	griffiths	10
101	frederick s.	10
102	lisa	10
103	jan	10
104	bhat v.	10
105	walter	10
106	malievskaia e.	10
107	alexander	10
108	becker	10
109	anna m.	10
110	nicolas	10
111	nutt	10
112	l.	10
113	garcia-romeu a.	10
114	sepeda	10
115	xu	10
116	seragnoli f.	10
117	katrin h.	10
118	albert	10
119	penzenstadler l.	10
120	mcintyre	9
121	holze f.	9
122	elena	9
123	grant	9
124	matthew	9
125	maia	9
126	andreas	9
127	goodwin	9
128	rucker	9
129	stephen	9
130	morgan	9
131	timmermann c.	9
132	mason	9
133	ramaekers	9
134	johannes g.	9
135	jeffrey	9
136	baker	9
137	hallak	9
138	thomas	9
139	natalie	9
140	agrawal	9
141	marwood l.	9
142	beaussant y.	9
143	yasmin	9
144	katherine	9
145	yaden d.b.	9
146	caroline	9
147	zeifman r.j.	9
148	solmi m.	9
149	sabe m.	9
150	vollenweider	9
151	franz x.	9
152	wong s.	9
153	zhang y.	9
154	andrea	9
155	suppes t.	9
156	wang x.	9
157	joshua d.	8
158	nichols	8
159	vermetten e.	8
160	schoevers r.a.	8
161	mertens l.j.	8
162	hellerstein d.j.	8
163	kim	8
164	john d.	8
165	kurt	8
166	michelle	8
167	sandeep m.	8
168	simon	8
169	sepeda n.d.	8
170	johnson m.w.	8
171	mark	8
172	sun	8
173	bradley	8
174	woolley	8
175	betzler f.	8
176	evens r.	8
177	mansur r.b.	8
178	ross s.	8
179	megan	8
180	alan k.	8
181	stenbk d.s.	8
182	preller k.h.	8
183	justin	8
184	chris	8
185	dunlop b.w.	8
186	mistry s.	8
187	benjamin	8
188	liknaitzky p.	8
189	clara	8
190	schmid	8
191	robinson	8
192	alan	8
193	dos santos	8
194	nicholas	8
195	scheidegger	8
196	weiss	8
197	g.	8
198	zullino d.	8
199	claire	8
200	jetly r.	8
201	sabnis	8
202	blumberger d.m.	7
203	meghan	7
204	samuel	7
205	kaelen m.	7
206	spangemacher m.	7
207	kuypers k.p.c.	7
208	jr.	7
209	gukasyan n.	7
210	griffiths r.r.	7
211	zhou	7
212	roberts	7
213	smith	7
214	anderson	7
215	wall m.b.	7
216	amanda	7
217	palhano-fontes	7
218	fernanda	7
219	natasha l.	7
220	knudsen	7
221	soares j.c.	7
222	bruno	7
223	mitchell	7
224	liu	7
225	fisher p.m.	7
226	beaussant	7
227	raison	7
228	roseman	7
229	leor	7
230	feifel d.	7
231	rucker j.	7
232	tsai j.	7
233	katie	7
234	manish	7
235	weiss b.	7
236	isabelle	7
237	ellis	7
238	nayak s.m.	7
239	bouso	7
240	jose carlos	7
241	rebecca	7
242	heather	7
243	jacobs	7
244	noah	7
245	evans	7
246	e.	7
247	emma	7
248	meling	7
249	nathan	7
250	modlin n.l.	7
251	pablo	7
252	joshua s.	7
253	thorens g.	7
254	rieser	7
255	chang	7
256	alex c.	7
257	hasler g.	7
258	oscar	7
259	garcia-romeu	7
260	burback l.	7
261	winkler o.	7
262	lundberg j.	7
263	aicher	7
264	chisamore n.	7
265	bogenschutz	7
266	swieczkowski d.	7
267	cubaa w.j.	7
268	roth	6
269	mulsant b.h.	6
270	lee	6
271	flora	6
272	perkins	6
273	sarris	6
274	bright	6
275	becker a.m.	6
276	audrey	6
277	kartner l.	6
278	hoffmeister d.	6
279	k.	6
280	agin-liebes g.	6
281	matthias	6
282	brian	6
283	vollenweider f.x.	6
284	ramaekers j.g.	6
285	muller f.	6
286	david e.	6
287	r.	6
288	guy	6
289	kelly	6
290	allan h.	6
291	wojtas a.	6
292	goembiowska k.	6
293	brian d.	6
294	roland r.	6
295	earleywine m.	6
296	wong	6
297	austin	6
298	aday	6
299	jacob s.	6
