id	label	weight
1	david	54
2	a.	35
3	michael	34
4	erritzoe d.	33
5	wang	33
6	carhart-harris r.	31
7	carhart-harris	28
8	daniel	27
9	nutt d.j.	26
10	rosenblat j.d.	24
11	liechti	24
12	husain m.i.	23
13	matthias e.	23
14	laura	19
15	roseman l.	19
16	joshua	19
17	robin	19
18	mcintyre r.s.	18
19	carhart-harris r.l.	18
20	jones	18
21	robert	18
22	andrew	17
23	miller	17
24	li	17
25	c.	16
26	j.	16
27	williams	16
28	scott	16
29	yaden	16
30	martin	16
31	davis	16
32	erritzoe	16
33	rosenblat	15
34	s.	15
35	barrett	15
36	anna	15
37	m.	14
38	aaronson	14
39	suppes	14
40	trisha	14
41	kettner h.	14
42	simonsson	14
43	james	14
44	johnson	14
45	jonathan	14
46	nutt d.	14
47	mueller	14
48	goodwin g.m.	14
49	paul	14
50	christopher	14
51	sara	14
52	sarah	14
53	robin l.	14
54	hannes	14
55	young a.h.	13
56	rucker j.j.	13
57	hendricks	13
58	peter	13
59	otto	13
60	marco	13
61	nayak	13
62	adam	13
63	holze	13
64	friederike	13
65	agrawal m.	13
66	b.	13
67	meshkat s.	13
68	davis a.k.	12
69	david j.	12
70	young	12
71	david b.	12
72	alex	12
73	giribaldi b.	12
74	chen	12
75	aaron	12
76	felix	12
77	kettner	12
78	patrick	12
79	peter s.	12
80	zhang	12
81	liechti m.e.	11
82	grunder g.	11
83	griffiths	11
84	knudsen g.m.	11
85	kelly j.r.	11
86	agrawal	11
87	aaronson s.t.	11
88	palenicek t.	11
89	kwan	11
90	lewis	11
91	ley	11
92	milan	11
93	p.	11
94	richard	11
95	preller	11
96	lin	10
97	d.	10
98	maria	10
99	elena	10
100	matthew	10
101	zeifman	10
102	richard j.	10
103	goodwin	10
104	barrett f.s.	10
105	stephen	10
106	frederick s.	10
107	lisa	10
108	jan	10
109	bhat v.	10
110	walter	10
111	malievskaia e.	10
112	alexander	10
113	becker	10
114	anna m.	10
115	nicolas	10
116	nutt	10
117	l.	10
118	garcia-romeu a.	10
119	sepeda	10
120	xu	10
121	seragnoli f.	10
122	katrin h.	10
123	albert	10
124	andrea	10
125	penzenstadler l.	10
126	mcintyre	9
127	holze f.	9
128	grant	9
129	maia	9
130	andreas	9
131	simon	9
132	rucker	9
133	morgan	9
134	timmermann c.	9
135	mason	9
136	ramaekers	9
137	johannes g.	9
138	jeffrey	9
139	baker	9
140	hallak	9
141	thomas	9
142	natalie	9
143	marwood l.	9
144	beaussant y.	9
145	clara	9
146	yasmin	9
147	katherine	9
148	yaden d.b.	9
149	caroline	9
150	zeifman r.j.	9
151	solmi m.	9
152	sabe m.	9
153	vollenweider	9
154	franz x.	9
155	wong s.	9
156	zhang y.	9
157	suppes t.	9
158	wang x.	9
159	joshua d.	8
160	nichols	8
161	vermetten e.	8
162	schoevers r.a.	8
163	mertens l.j.	8
164	hellerstein d.j.	8
165	kim	8
166	john d.	8
167	kurt	8
168	michelle	8
169	sandeep m.	8
170	sepeda n.d.	8
171	johnson m.w.	8
172	mark	8
173	sun	8
174	bradley	8
175	woolley	8
176	anderson	8
177	betzler f.	8
178	evens r.	8
179	mansur r.b.	8
180	ross s.	8
181	megan	8
182	alan k.	8
183	stenbk d.s.	8
184	preller k.h.	8
185	justin	8
186	beaussant	8
187	chris	8
188	dunlop b.w.	8
189	mistry s.	8
190	benjamin	8
191	liknaitzky p.	8
192	schmid	8
193	wilson	8
194	robinson	8
195	alan	8
196	dos santos	8
197	nicholas	8
198	scheidegger	8
199	weiss	8
200	g.	8
201	zullino d.	8
202	claire	8
203	jetly r.	8
204	sabnis	8
205	blumberger d.m.	7
206	meghan	7
207	samuel	7
208	kaelen m.	7
209	spangemacher m.	7
210	matthias	7
211	brian	7
212	kuypers k.p.c.	7
213	jr.	7
214	gukasyan n.	7
215	griffiths r.r.	7
216	zhou	7
217	roberts	7
218	smith	7
219	grob	7
220	ross	7
221	wall m.b.	7
222	amanda	7
223	palhano-fontes	7
224	fernanda	7
225	natasha l.	7
226	knudsen	7
227	soares j.c.	7
228	bruno	7
229	mitchell	7
230	liu	7
231	fisher p.m.	7
232	raison	7
233	roseman	7
234	leor	7
235	feifel d.	7
236	rucker j.	7
237	tsai j.	7
238	katie	7
239	manish	7
240	thambi	7
241	weiss b.	7
242	isabelle	7
243	ellis	7
244	nayak s.m.	7
245	bouso	7
246	jose carlos	7
247	rebecca	7
248	heather	7
249	jacobs	7
250	noah	7
251	evans	7
252	e.	7
253	emma	7
254	meling	7
255	nathan	7
256	modlin n.l.	7
257	pablo	7
258	joshua s.	7
259	thorens g.	7
260	rieser	7
261	chang	7
262	alex c.	7
263	stefan	7
264	hasler g.	7
265	oscar	7
266	garcia-romeu	7
267	burback l.	7
268	winkler o.	7
269	lundberg j.	7
270	aicher	7
271	chisamore n.	7
272	bogenschutz	7
273	michel	7
274	jungaberle	7
275	swieczkowski d.	7
276	cubaa w.j.	7
277	roth	6
278	mulsant b.h.	6
279	lee	6
280	flora	6
281	perkins	6
282	sarris	6
283	bright	6
284	becker a.m.	6
285	audrey	6
286	kartner l.	6
287	hoffmeister d.	6
288	k.	6
289	agin-liebes g.	6
290	vollenweider f.x.	6
291	ramaekers j.g.	6
292	muller f.	6
293	david e.	6
294	r.	6
295	guy	6
296	kelly	6
297	allan h.	6
298	wojtas a.	6
299	goembiowska k.	6
300	brian d.	6
301	roland r.	6
302	d'souza	6
303	earleywine m.	6
304	wong	6
305	austin	6
306	aday	6
307	jacob s.	6
308	ellen	6
309	kate	6
310	brandon	6
311	petranker r.	6
312	galvao-coelho	6
313	tomas	6
314	rosenblat j	6
315	kalin	6
316	madsen m.k.	6
317	lerer b.	6
318	greenway k.t.	6
319	yvan	6
320	gukasyan	6
321	herman	6
322	stefano	6
323	penn	6
324	somers m.	6
325	wahba m.	6
326	wang h.	6
327	mertens	6
328	timmermann	6
329	filip	6
330	klaiber	6
331	duthaler	6
332	urs	6
333	osika	6
334	luke	6
335	feng	6
336	barnett	6
337	lyons t.	6
338	gattuso j.j.	6
339	erica	6
340	elizabeth	6
341	simon b.	6
342	frederick	6
343	kirlic n.	6
344	siegel	6
345	stephanie	6
346	croal m.	6
347	levin a.w.	6
348	borgwardt	6
349	xiaohui	6
350	alexandra	6
351	greenshaw a.	6
352	nicole	6
353	goldberg	6
354	helena d.	6
355	dornbierer	6
356	nemeroff	6
357	doyle z.	6
358	renoir t.	6
359	kwasny a.	6
360	pruc m.	6
361	ram w.	6
362	schmitz	5
363	bryan l.	5
364	roger	5
365	roger s.	5
366	charles	5
367	jason	5
368	woolley j.	5
369	olga	5
370	mackenzie	5
371	tammy	5
372	shoultz	5
