"source","title","year","doi","match_por","estado_abstract","n_car_abstract","abstract","abstract_corpus"
"WOS","Psilocybin for Trauma-Related Disorders",2022,"10.1007/978-3-031-12184-5",NA,"sin_crudo_emparejado",NA,NA,"Posttraumatic stress disorder (PTSD) is a debilitating, chronic disorder and efficacy rates of current PTSD treatments are underwhelming. There is a critical need for innovative approaches. We provide an overview of trauma and PTSD and cite literature providing converging evidence of the therapeutic potential of psilocybin for PTSD. No study to date has investigated psilocybin or psilocybin-assisted psychotherapy (PAP) as treatments for PTSD. An open-label study in traumatized AIDS survivors found that PAP reduced PTSD symptoms, attachment anxiety, and demoralization. Several PAP trials show preliminary efficacy in facilitating confronting traumatic memories, decreasing emotional avoidance, depression, anxiety, pessimism, and disconnection from others, and increasing acceptance, self-compassion, and forgiveness of abusers, all of which are relevant to PTSD recovery. There is also early evidence that other classic psychedelics may produce large reductions in PTSD symptoms in combat veterans. However, this body of literature is small, mechanisms are not yet well understood, and the risks of using psychedelic compounds for trauma-related disorders need further study. In sum, evidence supports further investigation of PAP as a radically new approach for treating PTSD."
"WOS","Efficacy, Safety, and Tolerability of Psychedelics in Treatment-Resistant Depression ( TRD)",2024,"10.1007/978-981-97-4402-2",NA,"sin_crudo_emparejado",NA,NA,"Major depressive disorder (MDD) is a highly prevalent psychiatric disorder, associated with substantial burden and large economical costs. Notwithstanding various conventional antidepressant treatment options, a large portion of depressed people (ca. 30%) fails to respond to first-line treatment, resulting in treatment-,resistant depression (TRD). Although non-,response to multiple antidepressant interventions is a common outcome, a consensus definition of TRD is not yet available. In practice, TRD is applied when two or more successive treatments with different antidepressants are not working. The last decade's intense research into new medicines for TRD has led to two developments, using typical or serotonergic (psilocybin, ayahuasca) and atypical (glutamatergic) psychedelics (ketamine, esketamine). Both approaches, although via different entrance mechanism, exhibit a fast onset but also long-lasting antidepressant effect far beyond the biological presence of the drug in the body, strongly indicating that downstream mechanisms activated by signaling cascades in the brain are involved. The present chapter describes the clinical development of psilocybin and esketamine for TRD and discusses the problems involved in the use of a proper placebo because of the psychotomimetic (psilocybin) or dissociative (ketamine) effects that interfere with performing ""blind"" studies. Nevertheless, intranasal esketamine was developed and approved for TRD, whereas psilocybin has shown positive results. Adverse effects and tolerability of both drugs in the dose ranges used are generally acceptable. The emergence of anti-TRD medicines for treatment of a very severe disease is a breakthrough in psychiatry."
"WOS","Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons",2026,"10.7554/elife.104006.3.sa3",NA,"sin_crudo_emparejado",NA,NA,"Psilocybin is studied as innovative medication in anxiety, substance abuse and treatment-resistant depression. Animal studies show that psychedelics promote neuronal plasticity by strengthening synaptic responses and protein synthesis. However, the exact molecular and cellular changes induced by psilocybin in the human brain are not known. Here, we treated human cortical neurons derived from induced pluripotent stem cells with the 5-HT2A receptor agonist psilocin - the psychoactive metabolite of psilocybin. We analyzed how exposure to psilocin affects gene expression, neuronal morphology, synaptic markers and neuronal function. Psilocin provoked a 5-HT2A-R-mediated augmentation of BDNF abundance. Transcriptomic profiling identified gene expression signatures priming neurons to neuroplasticity. On a morphological level, psilocin induced enhanced neuronal complexity and increased expression of synaptic proteins, in particular in the postsynaptic compartment. Consistently, we observed an increased excitability and enhanced synaptic network activity in neurons treated with psilocin. In conclusion, exposure of human neurons to psilocin might induce a state of enhanced neuronal plasticity, which could explain why psilocin is beneficial in the treatment of neuropsychiatric disorders where synaptic dysfunctions are discussed."
"OVID","Treatment Expectancies and Psilocybin vs Escitalopram for Depression.",2025,"10.1001/jamapsychiatry.2024.4387",NA,"sin_crudo_emparejado",NA,NA,NA
"OVID","Psilocybin for major depressive disorder:  An updated systematic review and meta-analysis of randomized clinical trials.",2026,"10.1177/02698811241287542",NA,"sin_crudo_emparejado",NA,NA,"Background: Due to the unsatisfactory therapeutic effects of current antidepressants, research has been launched into alternative treatment approaches, such as the administration of psychedelics. Psilocybin, a classic hallucinogen, has been shown to exert considerable positive influence on depression symptoms through its serotonergic and glutamatergic effects. This systematic review and meta-analysis aimed to evaluate the effectiveness of psilocybin in treating depression., Methods: A comprehensive search of Medline (via PubMed) and the Cochrane Library databases was conducted to identify relevant studies. Inclusion criteria were applied to select studies that investigated the therapeutic impact of psilocybin on depression. A mixed-effects multi-level model was used to estimate the overall effect size. Effectiveness over time was also investigated as a secondary analysis., Results: The results of the primary analysis revealed a large and clinically observable reduction (SMC: -1.24, 95%CI: -1.83 to -0.65, I 2 level2 = 11.39%, I 2 level3 = 77.67%) of depressive symptomatology in patients receiving psilocybin in addition to supportive therapy compared to baseline measurements. The decrease was also marked when compared to placebo (p-value = 0.032). The results remained significant even when a secondary analysis assessed the effect in various time intervals since the administration of psilocybin., Conclusion: This systematic review and meta-analysis substantiate the claim that psilocybin is superior in treating depression compared to established psychotherapy alone used for treating depression. This finding warrants further studies with larger sample sizes and across a longer timeframe., (C)2026Sage Publications"
"OVID","Psilocybin-assisted therapy for individuals with palliative care needs:  A systematic review of safety and efficacy.",2026,"10.1177/02692163251383335",NA,"sin_crudo_emparejado",NA,NA,"Background: Palliative Care is concerned with relieving suffering and improving the quality of life of patients and their families. Currently, questions arise about how to provide patients with good end-of-life care. There has been increasing interest in the beneficial effects of using psilocybin-assisted therapy in patients with severe chronic illnesses near the end of their lives and who present symptoms of depression and/or anxiety., Aim: Explore the role of psilocybin-assisted therapy in palliative care, synthesizing evidence from clinical trials and longitudinal studies., Design: Systematic review., Data sources: A bibliographic search was performed in April 2024 in B-on, PubMed, Web of Science, and Scopus. Eligible studies included peer-reviewed quantitative research (RCTs, longitudinal, and observational designs) with adult participants in palliative care settings, examining the efficacy and safety of psilocybin-assisted therapy. Reviews, gray literature, and studies outside the scope of palliative care were excluded., Results: Of the 215 articles found, six studies (n = 74 participants; age range 22-75 years) met the inclusion criteria. Across randomized and open-label trials, psilocybin-assisted therapy produced clinically significant reductions in depression and anxiety, with 57-79% of participants achieving >= 50% symptom reduction on standardized scales (e.g. HAM-D, HAM-A, BDI, STAI). Improvements were sustained for up to 6-8 months in most trials, and in one follow-up study, for up to 4.5 years. Reported adverse effects were generally mild and transient, including nausea, vomiting, and temporary increases in blood pressure and heart rate; no serious adverse events were observed., Conclusions: Psilocybin-assisted therapy consistently demonstrated efficacy and safety in the reduction of depressive and anxiety symptoms. However, more studies exploring integrating psilocybin-assisted therapy into existing palliative care healthcare systems are needed. This includes investigating the feasibility, acceptability, and cost-effectiveness of integrating psilocybin-assisted therapy into routine clinical practice., (C)2026Sage Publications"
"OVID","Psilocybin as a novel treatment for chronic pain.",2024,"10.1111/bph.17420",NA,"sin_crudo_emparejado",NA,NA,": Psychedelic drugs are under active consideration for clinical use and have generated significant interest for their potential as anti-nociceptive treatments for chronic pain, and for addressing conditions like depression, frequently co-morbid with pain. This review primarily explores the utility of preclinical animal models in investigating the potential of psilocybin as an anti-nociceptive agent. Initial studies involving psilocybin in animal models of neuropathic and inflammatory pain are summarised, alongside areas where further research is needed. The potential mechanisms of action, including targeting serotonergic pathways through the activation of 5-HT2A receptors at both spinal and central levels, as well as neuroplastic actions that improve functional connectivity in brain regions involved in chronic pain, are considered. Current clinical aspects and the translational potential of psilocybin from animal models to chronic pain patients are reviewed. Also discussed is psilocybin's profile as an ideal anti-nociceptive agent, with a wide range of effects against chronic pain and its associated inflammatory or emotional components., (C) 2026 John Wiley & Sons, Ltd"
"OVID","Psilocybin shows mixed results for patients with treatment-resistant depression.",2026,"10.1002/pu.31461",NA,"sin_crudo_emparejado",NA,NA,"Patients with treatment-resistant depression who received psilocybin-assisted psychotherapy showed clinically meaningful improvement in depressive symptoms relative to placebo, a Phase 2b trial has found. However, the study did not show a significant effect on the primary outcome of treatment response 6 weeks after the first of two doses of psilocybin. Study results were published online March 18, 2026 in JAMA Psychiatry., (C) 2026 John Wiley & Sons, Ltd"
"OVID","Pharmacokinetic and pharmacodynamic rational for expanding the therapeutic landscape of psilocybin beyond depression.",2026,"10.1016/j.phrs.2026.108290",NA,"sin_crudo_emparejado",NA,NA,NA
"OVID","Short-Term and Late-Term Effects of Psilocybin on Symptoms in Major Depression: A Randomized Clinical Trial.",2026,"10.1001/jamanetworkopen.2026.12589",NA,"sin_crudo_emparejado",NA,NA,"Importance: Psilocybin has been proposed as a rapid-acting antidepressant (onset <2 weeks) with sustained effects (>6 weeks), but evidence from randomized clinical trials remains limited, particularly in the broader major depressive disorder (MDD) population., Objective: To assess short-term and long-term antidepressant effects of psilocybin therapy in patients with MDD., Design, Setting, and Participants: This double-blind, placebo-controlled randomized clinical trial of participants diagnosed with moderate to severe recurrent MDD was conducted at the Northern Stockholm Psychiatric Clinic between January 26, 2021, and February 19, 2024. Statistical analysis was performed from February 20, 2024, to June 20, 2025., Interventions: Participants received a single dose of psilocybin (25 mg) or active placebo (niacin, 100 mg) and 5 psychotherapeutic support sessions during 17 days., Main Outcomes and Measures: The primary end point was between-group difference in change in Montgomery-Asberg Depression Rating Scale (MADRS) score from baseline to day 8. Secondary end points included MADRS scores on days 15, 42, and 365, as well as monthly self-reports (MADRS-S) of depressive symptoms, disability, quality of life, and anxiety throughout the 365-day follow-up., Results: The study included 35 participants (21 [60%] female; mean [SD] age, 41.0 [10.1] years) diagnosed with moderate to severe recurrent MDD, with 17 randomized to the psilocybin group and 18 to the niacin group. The study met its primary end point with a significant mean between-group difference (model estimated) in change in MADRS score on day 8 (-7.27; 95% CI, -12.89 to -1.65; P = .01) in favor of psilocybin. The between-group difference was significant also on days 15 (mean difference, -11.03; 95% CI, -16.65 to -5.42; P < .001) and 42 (mean difference, -8.33; -13.94 to -2.71; P = .004) but no longer on day 365 (mean difference, -3.68; -9.30 to 1.94; P = .20). For MADRS-S, the psilocybin group had a significantly greater reduction beginning at day 2 (mean difference, -9.58; 95% CI, -16.05 to -3.11; P = .004), with group differences persisting through day 102 (mean difference, -6.60; 95% CI, -13.01 to -0.19; P = .04) and then isolated effects at days 283 and 343. Most reported treatment-emergent adverse events were transient and of mild to moderate severity. No drug-related serious adverse events were reported. Two participants in the psilocybin group reported persistent, severe anxiety that required medical attention., Conclusions and Relevance: In this randomized clinical trial of MDD, a single dose of psilocybin was associated with rapid antidepressant effects, observed by day 2 and persisting for more than 3 months on secondary outcomes; psilocybin was generally well tolerated, but some individuals required additional support after dosing due to anxiety. These results suggest that psilocybin may provide a rapid and relatively long-lasting antidepressant effect on major depressive disorder, warranting further investigation into repeated dosing or adjunctive treatment strategies., Trial Registration: ClinicalTrials.gov Identifier: NCT04630964, Copyright 2026 by the American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Restrictions Apply to Government Use.  American Medical Association, 515 N. State St, Chicago, IL 60610."
